"muniYear","IM","POB_TOT"
"07052_1990",1.482,86586
"07052_2000",1.136,86413
"07108_2000",0.005,85957
"07065_2000",0.507,85464
"07097_2010",0.028,84594
"07017_2015",0.004,84455
"07061_2010",0.413,82059
"07108_1995",-0.225,79925
"07107_2015",0.772,79003
"07019_1990",-0.295,78896
"07097_2005",-0.075,78516
"07097_2000",-0.153,78438
"07017_2010",0.13,78114
"07065_1995",0.482,77998
"07031_2000",2.046,77686
"07096_2015",1.589,77554
"07023_2010",1.815,76941
"07099_2015",0.681,76917
"07107_2010",0.693,74477
"07097_1995",-0.331,73673
"07017_2005",0.155,73668
"07027_2005",-0.007,73552
"07034_2015",0.336,73436
"07108_1990",-0.148,73207
"07057_2015",0.258,72967
"07099_2010",0.56,72769
"07061_2005",0.428,72426
"07096_2010",1.275,71432
"07031_1995",1.854,69946
"07057_2010",0.476,69119
"07107_2000",0.603,68685
"07107_2005",0.677,67814
"07097_1990",-0.339,67491
"07023_2005",1.882,67085
"07034_2010",0.222,67012
"07031_1990",1.886,66644
"07061_2000",0.361,65673
"07106_2015",0.851,65009
"07017_2000",0.102,64013
"07017_1995",0.022,63600
"07077_2015",1.484,63446
"07107_1995",0.31,63351
"07065_1990",0.632,63209
"07096_2005",1.423,63172
"07106_2010",0.733,61341
"07027_2000",-0.03,60620
"07099_2005",0.505,60417
"07057_2000",0.305,59875
"07099_2000",0.646,59686
"07017_1990",-0.15,59152
"07023_2000",2.093,59005
"07099_1995",1.022,58827
"07027_1995",-0.128,58825
"07061_1995",0.199,58705
"07096_2000",1.359,58153
"07057_2005",0.583,58115
"07099_1990",0.818,57975
"07034_2005",0.137,57580
"07077_2010",1.395,57253
"07106_2005",0.737,56833
"07107_1990",0.275,54424
"07040_2015",0.141,54332
"07077_2005",1.693,53547
"07069_2015",0.51,53525
"07057_1995",0.267,53143
"07023_1995",1.997,52942
"07106_2000",0.574,52833
"07034_2000",0.171,52168
"07023_1990",2.088,51757
"07106_1995",0.106,51756
"07012_2015",0.152,51722
"07040_2010",0.005,51359
"07069_2010",0.523,50079
"07034_1995",0.353,50012
"07077_2000",1.749,49300
"07096_1995",1.355,48708
"07096_1990",1.563,48558
"07040_2000",-0.23,48476
"07064_2015",2.078,48126
"07057_1990",0.414,48106
"07061_1990",0.175,47954
"07040_2005",-0.151,47953
"07051_2015",0.249,47932
"07040_1995",-0.244,47644
"07069_1995",0.281,47616
"07069_2000",0.401,46949
"07069_2005",0.495,46439
"07020_2015",1.063,46405
"07015_2015",0.092,45594
"07077_1995",1.609,45450
"07027_1990",-0.2,45143
"07074_2015",-0.901,45104
"07041_2015",0.515,44891
"07040_1990",-0.301,44496
"07081_2015",1.564,44295
"07034_1990",0.389,44222
"07020_2010",1.042,44082
"07051_2010",0.368,43913
"07015_2010",0.006,43811
"07093_2015",1.266,43593
"07064_2010",1.659,43350
"07106_1990",0.235,43334
"07069_1990",0.332,43248
"07012_2010",0.48,43179
"07094_2015",1.097,43175
"07102_2015",0.298,41823
"07064_1995",2.172,41819
"07077_1990",1.589,41583
"07064_2005",1.788,41423
"07092_2015",0.788,41305
"07041_2010",0.694,41266
"07111_2015",1.692,41112
"07092_2010",0.635,41045
"07015_2005",0.098,40975
"07074_2010",-0.728,40711
"07081_2010",1.083,40297
"07093_2010",1.183,40268
"07020_2005",1.091,40189
"07009_2015",-0.27,40114
"07009_2010",-0.148,40042
"07020_2000",0.928,39770
"07026_2015",1.958,39648
"07051_1995",0.192,39293
"07079_2015",0.22,39204
"07009_1995",-0.561,39164
"07046_2015",0.28,39109
"07051_2000",0.257,39055
"07015_2000",-0.033,39033
"07087_2015",0.581,38797
"07009_2005",-0.292,38572
"07092_2000",0.669,38383
"07080_2010",1.075,38143
"07009_2000",-0.418,37989
"07051_2005",0.233,37945
"07064_2000",1.852,37887
"07109_2015",1.347,37833
"07093_2005",1.38,37826
"07046_2010",0.251,37818
"07102_2010",0.337,37737
"07094_2010",0.936,37607
"07092_2005",0.815,37543
"07020_1995",0.464,37456
"07041_2005",0.645,36951
"07111_2010",1.654,36489
"07009_1990",-0.681,36224
"07026_2010",1.801,36111
"07080_2005",1.298,35871
"07046_2005",0.266,35831
"07015_1995",0.025,35738
"07046_1995",-0.155,35403
"07080_2015",0.992,35192
"07015_1990",-0.091,35070
"07087_2010",0.622,35056
"07037_2015",0.513,35017
"07013_2015",0.658,34997
"07092_1995",0.222,34988
"07046_2000",0.147,34937
"07074_2005",-0.776,34896
"07051_1990",0.384,34882
"07064_1990",1.624,34868
"07112_2015",2.6,34829
"07074_2000",-0.675,34809
"07046_1990",-0.154,34802
"07030_2015",0.789,34744
"07026_1995",2.41,34508
"07092_1990",0.423,34465
"07100_2015",1.557,34305
"07102_2005",0.427,34101
"07109_2010",1.225,34028
"07012_2005",0.177,33842
"07102_2000",0.39,33467
"07037_2010",0.729,33444
"07020_1990",0.512,33338
"07093_2000",1.372,33161
"07079_2010",0.128,33060
"07087_2005",0.461,32976
"07004_2015",1.412,32872
"07080_2000",1.27,32457
"07081_2005",1.353,32451
"07102_1995",0.752,32395
"07094_2005",1.105,32368
"07102_1990",0.576,32348
"07074_1995",-0.738,32283
"07041_2000",0.719,32245
"07072_2015",0.849,31942
"07032_2015",0.314,31822
"07026_2005",1.79,31788
"07103_2015",0.616,31755
"07100_2010",1.753,31723
"07081_2000",1.324,31615
"07030_2010",0.98,31515
"07037_2000",0.564,31464
"07109_2005",0.922,31457
"07002_2015",0.276,31424
"07068_2015",0.123,31107
"07072_2010",0.929,31075
"07111_2005",1.807,31061
"07074_1990",-0.64,30875
"07080_1995",1.062,30777
"07006_2015",0.508,30732
"07026_1990",1.879,30680
"07013_2010",0.539,30642
"07037_2005",0.584,30450
"07037_1995",0.633,30356
"07087_2000",0.288,30251
"07032_2010",0.539,30068
"07041_1995",1.266,29996
"07004_2010",1.108,29865
"07068_2010",-0.029,29813
"07111_2000",1.835,29754
"07080_1990",1.347,29629
"07068_2005",0.257,29583
"07006_2010",0.856,29547
"07079_2005",0.287,29543
"07068_2000",0.41,29357
"07081_1995",1.693,29328
"07054_2015",0.822,29239
"07112_2010",2.028,29016
"07071_2015",0.73,28961
"07002_2010",0.365,28947
"07100_2005",1.824,28884
"07008_2005",0.876,28883
"07012_2000",0.109,28719
"07087_1995",0.427,28498
"07003_2015",0.739,28380
"07037_1990",0.69,28335
"07075_2015",1.394,28261
"07030_2005",1.051,28260
"07008_2015",0.72,28162
"07103_2010",0.747,28137
"07032_2000",0.368,28064
"07081_1990",1.218,28038
"07071_2010",0.923,27899
"07072_2005",1.185,27832
"07093_1995",1.307,27614
"07003_2010",0.869,27580
"07032_2005",0.602,27364
"07026_2000",1.901,27331
"07068_1990",0.34,27312
"07093_1990",1.453,27217
"07044_2015",0.483,27198
"07112_1995",3.159,27150
"07041_1990",0.835,27073
"07094_2000",0.931,26996
"07076_2015",1.872,26921
"07100_2000",1.673,26866
"07071_2000",0.735,26706
"07008_2010",0.667,26628
"07054_2010",0.751,26573
"07013_2005",0.478,26446
"07079_2000",0.354,26436
"07071_2005",0.772,26414
"07030_1995",0.79,26392
"07012_1995",0.376,26301
"07032_1995",0.244,26282
"07006_2000",0.743,26094
"07109_2000",0.72,26044
"07002_2005",0.364,26003
"07068_1995",0.228,25987
"07087_1990",0.292,25739
"07003_1995",0.468,25647
"07071_1995",0.658,25535
"07075_2010",1,25530
"07006_2005",0.731,25346
"07076_2010",1.344,25187
"07003_2000",0.568,25154
"07030_2000",0.952,24994
"07075_2005",1.081,24969
"07112_2005",1.975,24906
"07032_1990",0.312,24805
"07002_2000",0.282,24754
"07030_1990",0.917,24753
"07004_2005",0.992,24725
"07111_1995",1.7,24631
"07044_2010",0.623,24517
"07103_2005",0.711,24417
"07072_2000",1.255,24405
"07109_1995",0.786,24216
"07071_1990",0.803,24182
"07003_2005",0.68,24165
"07008_1995",0.33,24094
"07054_2000",0.716,24079
"07086_2015",0.026,24049
"07054_2005",0.634,24017
"07049_2015",1.206,23889
"07003_1990",0.764,23871
"07076_2005",1.52,23675
"07038_2015",1.024,23625
"07002_1995",-0.06,23553
"07054_1995",0.502,23293
"07006_1995",0.661,23200
"07103_2000",0.61,23180
"07039_2015",1.249,23172
"07079_1995",0.182,23047
"07103_1990",0.732,23007
"07103_1995",0.283,22833
"07013_2000",0.577,22722
"07100_1995",2.106,22682
"07014_2015",1.261,22606
"07006_1990",0.802,22578
"07039_2010",1.313,22536
"07094_1995",0.67,22403
"07111_1990",1.651,22392
"07079_1990",0.276,22388
"07100_1990",1.671,22373
"07012_1990",0.265,22170
"07109_1990",0.86,22076
"07008_1990",0.526,22023
"07066_2015",2.479,22011
"07004_2000",1.065,21948
"07008_2000",0.559,21848
"07021_2015",0.403,21800
"07044_2005",0.501,21705
"07038_2010",1.518,21507
"07054_1990",0.74,21464
"07005_2010",1.558,21275
"07048_2015",0.012,21222
"07112_1990",2.488,21206
"07076_2000",1.415,21156
"07075_2000",0.949,21100
"07048_2010",0.195,21084
"07002_1990",-0.036,21051
"07021_2010",0.298,21050
"07086_2010",-0.157,21045
"07048_1990",0.463,20903
"07072_1995",1.165,20819
"07112_2000",2.143,20688
"07047_2015",0.776,20606
"07066_2010",2.13,20589
"07048_1995",0.441,20451
"07049_2010",1.37,20349
"07021_2005",0.451,20257
"07114_2015",0.926,20193
"07048_2005",0.28,20173
"07011_2015",0.644,20142
"07039_2005",1.662,20087
"07039_2000",1.796,20041
"07048_2000",0.405,19956
"07005_2005",1.754,19637
"07075_1995",0.873,19503
"07005_2015",1.398,19348
"07021_2000",0.448,19298
"07011_2010",0.662,19281
"07076_1995",2.191,19231
"07066_2005",2.262,19228
"07038_2005",1.578,19018
"07004_1995",2.008,18841
"07005_2000",1.758,18778
"07047_2010",0.752,18683
"07038_2000",1.411,18630
"07014_2010",1.048,18559
"07083_2015",0.862,18539
"07044_2000",0.597,18533
"07038_1995",2.136,18409
"07086_2005",-0.01,18406
"07011_2000",0.798,18205
"07094_1990",0.785,18186
"07062_2015",0.72,18128
"07001_2015",0.237,18082
"07039_1995",1.998,17742
"07038_1990",1.608,17669
"07011_2005",0.77,17553
"07072_1990",1.34,17490
"07076_1990",1.652,17475
"07013_1995",1.094,17368
"07049_2005",1.664,17320
"07114_2010",0.876,17282
"07016_2010",0.362,17140
"07083_2010",0.759,17125
"07011_1990",1.115,17087
"07062_2010",0.951,17067
"07016_2015",0.578,17065
"07021_1995",0.16,17035
"07004_1990",1.555,17026
"07062_2000",1.234,17026
"07001_2010",0.381,16814
"07011_1995",0.771,16803
"07022_2015",2.853,16803
"07075_1990",0.844,16617
"07049_2000",1.5,16538
"07044_1995",0.312,16402
"07062_2005",1.136,16392
"07066_2000",1.746,16262
"07062_1990",1.172,16201
"07021_1990",0.433,16192
"07013_1990",0.688,16148
"07039_1990",1.578,16109
"07086_2000",0.021,15890
"07083_2005",1.02,15885
"07016_2005",0.502,15876
"07016_2000",0.437,15709
"07016_1995",0.051,15689
"07105_2015",0.416,15350
"07104_2015",0.535,15316
"07049_1990",2.033,15303
"07114_2005",1.129,15213
"07005_1995",1.236,15187
"07083_2000",1.094,15171
"07014_1995",1.355,15105
"07047_2005",0.954,15005
"07014_2000",0.891,14993
"07049_1995",1.968,14944
"07014_2005",1.074,14932
"07005_1990",1.744,14799
"07001_2005",0.491,14653
"07114_2000",1.745,14436
"07035_2015",0.579,14416
"07016_1990",0.359,14391
"07001_2000",0.491,14189
"07070_2015",0.484,14121
"07105_2010",0.22,14089
"07066_1995",1.846,14073
"07086_1995",-0.12,14046
"07022_2010",2.738,14027
"07104_2010",0.573,14009
"07014_1990",1.07,13973
"07105_2000",0.204,13934
"07082_2015",3.947,13844
"07083_1995",0.674,13819
"07062_1995",0.696,13795
"07105_1990",0.161,13620
"07105_2005",0.311,13459
"07022_2005",2.354,13295
"07044_1990",0.519,13203
"07070_2010",1.065,13201
"07066_1990",1.834,13131
"07047_2000",0.936,13076
"07115_2015",1.689,12945
"07091_2015",-0.018,12887
"07105_1995",0.209,12835
"07070_2005",1.185,12831
"07104_2005",0.641,12757
"07035_2010",0.447,12665
"07001_1995",0.403,12607
"07060_2015",1.846,12508
"07086_1990",-0.21,12293
"07082_2010",3.122,12269
"07022_2000",2.768,12256
"07024_2015",1.475,12181
