"muniYear","state","muni","year","Winner2","PAN","PRI","PRD","nulos","noreg","total","win_state","wintop_state","win","win_top","prevyear","difY","inc","inc_top","conco","PRI_ofi","PAN_ofi","PRD_ofi","edo_year","PAN.s","PRI.s","PRD.s","inc.share","inc.share.lag","inc.ch","IM","POB_TOT","ch.agua","ch.dren","ch.elec","ch.del","ch.hom","alt"
"01007_1995",1,1007,1995,"PAN",5912,4466,477,262,0,11276,"PRI","PRI","PAN","PAN",1992,3,"PRI","PRI",0,1,0,0,"01_1995",0.524299396949273,0.396062433487052,0.0423022348350479,39.6062433487052,54.8993697906078,-15.2931264419026,-0.985,38752,NA,NA,NA,NA,NA,1
"01007_1998",1,1007,1998,"PRI",5176,6253,2005,345,1,13764,"PRI","PRI","PRI","PRI",1995,3,"PAN","PAN",1,1,0,0,"01_1998",0.376053472827666,0.454301075268817,0.145669863411799,37.6053472827666,39.6062433487052,-2.00089606593858,-1.06618919982438,40469,4.35512870092107,-14.8738129644922,7.31881512596886,NA,NA,1
"01008_1995",1,1008,1995,"PRI",15,1175,148,432,0,2271,"PRI","PRI","PRI","PRI",1992,3,"PRI","PRI",1,1,0,0,"01_1995",0.00660501981505945,0.517393218846323,0.0651695288419199,51.7393218846323,51.7219387755102,0.0173831091221146,-0.738,7170,NA,NA,NA,NA,NA,0
"01008_1998",1,1008,1998,"PRI",780,1135,108,154,0,3044,"PRI","PRI","PRI","PRI",1995,3,"PRI","PRI",1,1,0,0,"01_1998",0.256241787122208,0.372864651773982,0.0354796320630749,37.2864651773982,51.7393218846323,-14.4528567072342,-0.754674727326704,7214,4.31553181483848,-0.613668061366803,8.22871331251352,NA,NA,0
"01008_2007",1,1008,2007,"PAN_PNA",981,890,668,116,1,3525,"PAN","PAN","PAN","PAN",2004,3,"PAN","PAN",1,0,0,0,"01_2007",0.278297872340426,0.252482269503546,0.189503546099291,27.8297872340426,27.72080714522,0.108980088822573,-0.743965424862294,7543,26.156151218199,NA,22.1201566422191,85.4864157623336,100,0
"01008_2010",1,1008,2010,"PRI_PVEM_PNA",865,1793,122,94,2,4071,"PAN","PAN","PRI","PRI",2007,3,"PAN","PAN",0,0,1,0,"01_2010",0.212478506509457,0.440432326209776,0.0299680668140506,21.2478506509457,27.8297872340426,-6.58193658309684,-0.753,8443,-4.45180334172544,NA,-0.343582275526261,8.65352820076772,57.785,1
"01009_1995",1,1009,1995,"PRI",2189,2363,84,143,0,4804,"PRI","PRI","PRI","PRI",1992,3,"PRI","PRI",1,1,0,0,"01_1995",0.455661948376353,0.49188176519567,0.0174854288093256,49.188176519567,76.7475378332933,-27.5593613137263,-0.85,16175,NA,NA,NA,NA,NA,0
"01009_1998",1,1009,1998,"PAN",3295,2415,283,208,0,6077,"PRI","PRI","PAN","PAN",1995,3,"PRI","PRI",0,1,0,0,"01_1998",0.54220832647688,0.397400032910976,0.0465690307717624,39.7400032910976,49.188176519567,-9.44817322846945,-0.72762878916675,16374,-6.18753533180181,9.42552672252502,10.8547005308077,NA,NA,1
"01009_2001",1,1009,2001,"PRI",1620,2546,1385,179,1,5678,"PAN","PAN","PRI","PRI",1998,3,"PAN","PAN",0,1,0,0,"01_2001",0.285311729482212,0.448397323001057,0.243923916872138,28.5311729482212,39.7400032910976,-11.2088303428764,-0.668698749447849,16677,-0.1924633778452,-7.50885550262612,11.1660400212248,NA,NA,1
"01009_2004",1,1009,2004,"PAN",3122,2566,930,211,0,6618,"PAN","PAN","PAN","PAN",2001,3,"PRI","PRI",1,0,1,0,"01_2004",0.47174372922333,0.38773043215473,0.14052583862194,38.773043215473,28.5311729482212,10.2418702672517,-0.70828904703513,17196,-2.87283137355073,7.19913653534808,9.99461933601169,NA,NA,1
